N,MB,min,avgMin,avg,avgMax,max
234,17708.0,111.3,122.8,133.4,149.8,163.9
235,17784.0,114.3,132.0,153.2,166.8,217.1
236,17860.0,114.3,127.2,142.8,157.2,173.5
237,17936.0,144.7,158.6,171.4,194.1,207.9
238,18012.0,109.7,123.5,141.0,161.0,191.1
239,18088.0,96.4,109.6,115.8,121.3,132.3
240,18164.0,113.7,126.5,137.5,154.9,168.3
241,18240.0,125.3,134.7,152.4,164.1,173.3
242,18316.0,97.8,115.9,129.1,138.5,151.8
243,18392.0,114.3,119.9,138.2,155.8,170.7
244,18468.0,150.3,156.8,165.5,199.8,228.4
245,18544.0,111.9,125.7,142.3,158.5,173.4
246,18620.0,98.8,120.7,131.8,149.9,158.9
247,18696.0,108.0,121.5,134.4,150.2,160.4
248,18772.0,111.2,120.6,134.1,149.4,163.9
249,18848.0,106.6,114.8,122.8,135.0,152.3
250,18924.0,120.1,138.0,157.4,165.8,173.4
251,19000.0,140.1,151.2,162.3,173.3,203.1
252,19076.0,109.3,117.5,125.9,147.8,161.9
253,19152.0,103.6,111.6,120.8,129.8,147.1
254,19228.0,109.0,123.1,134.4,161.5,165.5
255,19304.0,116.6,125.3,137.4,150.5,161.9
256,19380.0,108.2,120.4,138.6,164.4,170.0
257,19456.0,147.9,166.7,188.5,218.9,233.3
258,19532.0,148.2,170.7,193.9,226.0,241.1
259,19608.0,109.4,116.4,126.9,145.4,152.1
260,19684.0,104.8,111.6,123.7,134.7,149.8
261,19760.0,115.9,121.5,129.9,152.0,163.7
262,19836.0,99.8,118.1,128.1,137.9,146.8
263,19912.0,109.0,119.5,129.6,154.5,163.0
264,19988.0,149.8,165.9,185.4,224.3,232.7
265,20064.0,151.7,159.7,176.5,209.6,225.5
266,20140.0,109.3,118.2,123.0,127.0,139.6
267,20216.0,113.2,123.3,131.1,142.6,150.7
268,20292.0,105.8,117.9,126.8,139.4,149.7
269,20368.0,115.8,123.3,134.3,148.1,156.7
270,20444.0,108.2,130.8,149.1,166.6,178.4
271,20520.0,139.1,183.3,207.6,235.1,248.2
272,20596.0,128.3,153.6,179.7,213.9,233.9
273,20672.0,112.4,119.5,126.5,138.9,150.3
274,20748.0,102.7,113.2,122.3,128.2,147.5
275,20824.0,111.9,122.5,137.3,151.7,169.6
276,20900.0,102.5,108.0,113.4,118.3,122.2
277,20976.0,108.7,115.9,121.8,127.4,131.8
278,21052.0,106.1,126.8,145.4,162.1,169.4
279,21128.0,122.1,131.8,140.7,152.7,161.6
280,21204.0,124.9,134.6,150.5,164.2,170.3
281,21280.0,109.7,124.7,154.3,171.8,181.9
282,21356.0,101.0,125.5,136.4,149.2,169.6
283,21432.0,119.7,124.8,131.9,144.6,158.1
284,21508.0,108.2,127.9,143.3,173.9,186.2
285,21584.0,149.0,157.4,171.3,183.1,197.8
286,21660.0,118.1,124.9,132.2,147.6,153.1
287,21736.0,117.8,125.6,143.7,158.5,172.9
288,21812.0,109.8,137.4,158.8,167.9,175.2
289,21888.0,103.0,111.5,120.6,139.7,162.9
290,21964.0,101.8,108.8,115.0,120.8,124.3
291,22040.0,118.2,127.2,135.7,150.8,165.9
292,22116.0,134.6,159.8,176.7,202.4,229.3
293,22192.0,150.6,161.7,170.2,185.1,227.6
294,22268.0,149.2,155.8,161.4,166.0,171.6
295,22344.0,145.0,153.6,168.3,186.5,222.6
296,22420.0,103.3,117.0,127.4,139.1,152.1
297,22496.0,101.4,116.4,124.6,136.7,158.8
298,22572.0,115.9,130.1,140.8,153.5,167.7
299,22648.0,105.6,124.8,139.7,154.5,165.6
300,22724.0,113.8,123.1,129.2,139.9,152.7
301,22800.0,106.4,126.7,137.0,160.3,173.8
302,22876.0,111.7,121.1,138.5,154.5,169.5
303,22952.0,115.3,125.4,136.1,153.4,164.5
304,23028.0,113.6,123.8,129.4,138.8,145.5
305,23104.0,132.6,145.1,161.6,186.6,229.8
306,23180.0,117.6,131.5,153.7,176.5,235.8
307,23256.0,108.8,121.3,138.7,159.5,162.4
308,23332.0,154.2,166.3,179.5,210.0,230.3
309,23408.0,109.3,125.1,146.6,160.6,175.0
310,23484.0,113.5,118.5,122.3,126.8,132.9
311,23560.0,113.2,119.7,126.3,137.4,156.1
312,23636.0,116.4,123.9,135.0,149.8,162.9
313,23712.0,109.2,123.2,134.0,156.4,165.5
314,23788.0,136.3,152.7,159.6,166.6,169.8
315,23864.0,150.9,158.1,165.1,170.3,179.4
316,23940.0,109.2,117.4,133.7,151.4,171.0
317,24016.0,112.4,114.4,119.0,124.1,128.8
318,24092.0,106.8,120.0,134.7,158.0,170.1
319,24168.0,106.5,120.7,143.3,162.2,175.0
320,24244.0,119.1,121.8,131.9,142.3,159.5
321,24320.0,122.3,153.5,174.3,220.6,239.7
322,24396.0,115.9,157.2,181.8,226.7,237.5
323,24472.0,103.3,114.1,122.0,131.5,158.9
324,24548.0,105.1,116.8,122.2,132.8,150.0
325,24624.0,113.9,117.6,126.1,141.0,148.5
326,24700.0,122.9,128.1,139.0,149.3,158.1
327,24776.0,117.6,128.2,137.5,156.4,164.7
328,24852.0,152.0,158.8,183.6,215.8,242.2
329,24928.0,107.8,151.9,178.8,203.2,236.4
330,25004.0,112.7,126.0,135.3,149.5,167.4
331,25080.0,122.3,128.1,137.9,150.5,163.2
332,25156.0,121.6,130.5,139.9,152.7,160.5
333,25232.0,110.3,116.2,122.0,133.2,148.0
334,25308.0,115.2,128.9,137.7,157.4,167.2
335,25384.0,143.2,156.5,164.5,174.5,188.0
336,25460.0,118.7,134.2,155.9,176.1,204.9
337,25536.0,111.2,122.3,130.7,143.5,156.9
338,25612.0,119.6,131.3,140.1,154.3,160.6
