N,MB,min,avgMin,avg,avgMax,max
210,15884.0,2.0,100.8,118.5,135.7,167.0
211,15960.0,109.6,155.6,166.7,180.9,183.8
212,16036.0,2.0,117.2,149.6,180.6,187.2
213,16112.0,88.1,108.0,128.0,130.4,133.1
214,16188.0,102.5,129.5,171.1,189.3,199.2
215,16264.0,88.4,124.8,130.2,134.3,152.4
216,16340.0,87.1,110.1,127.7,132.5,151.3
217,16416.0,2.0,2.0,123.0,129.9,133.0
218,16492.0,88.6,126.6,134.9,157.7,167.0
219,16568.0,2.0,77.4,148.6,160.1,164.0
220,16644.0,77.4,102.0,127.0,130.0,132.6
221,16720.0,108.6,134.5,155.1,169.0,179.0
222,16796.0,108.4,108.4,173.1,176.7,180.5
223,16872.0,2.0,120.7,135.1,172.0,180.1
224,16948.0,101.1,126.8,156.5,163.7,179.0
225,17024.0,2.0,62.0,122.1,129.1,132.2
226,17100.0,87.6,116.0,127.6,130.3,135.0
227,17176.0,86.5,105.3,127.2,129.6,132.3
228,17252.0,2.0,2.0,126.6,133.5,160.3
229,17328.0,86.6,120.2,145.1,166.7,179.9
230,17404.0,2.0,110.9,156.9,179.9,181.6
231,17480.0,104.8,127.6,153.8,177.3,188.0
232,17556.0,86.3,125.7,131.8,154.2,161.4
233,17632.0,2.0,109.7,147.3,167.2,183.0
234,17708.0,112.0,140.7,172.4,183.6,190.1
235,17784.0,2.0,119.6,139.3,177.3,184.8
236,17860.0,90.0,126.0,132.2,143.4,160.9
237,17936.0,109.1,109.1,175.1,180.2,184.5
238,18012.0,2.0,119.9,132.5,164.2,181.6
239,18088.0,89.2,107.0,124.6,134.1,148.4
240,18164.0,2.0,108.8,167.1,187.9,197.9
241,18240.0,88.4,88.4,126.9,128.9,130.6
242,18316.0,88.6,113.4,126.2,128.4,130.6
243,18392.0,2.0,116.2,133.2,166.4,171.2
244,18468.0,106.1,120.8,157.4,169.5,174.5
245,18544.0,2.0,2.0,123.0,129.7,136.0
246,18620.0,91.3,120.2,137.7,162.3,166.6
247,18696.0,2.0,82.8,111.9,140.0,185.5
248,18772.0,90.5,124.2,147.2,172.0,180.0
249,18848.0,108.6,108.6,174.0,178.1,182.2
250,18924.0,2.0,45.3,124.6,128.1,179.0
251,19000.0,86.8,124.4,154.6,187.4,190.1
252,19076.0,2.0,2.0,124.9,131.6,152.1
253,19152.0,110.3,153.0,173.8,183.6,189.2
254,19228.0,111.0,155.8,181.0,185.2,190.1
255,19304.0,2.0,116.1,129.7,147.0,185.4
256,19380.0,111.5,154.3,182.0,187.4,191.4
257,19456.0,2.0,63.2,109.7,131.7,157.2
258,19532.0,87.0,87.0,121.6,127.8,131.5
259,19608.0,2.0,2.0,125.1,132.2,134.1
260,19684.0,89.1,128.7,137.3,161.0,179.2
261,19760.0,109.7,130.1,157.8,173.0,181.0
262,19836.0,2.0,61.6,123.0,129.6,134.9
263,19912.0,88.2,130.8,156.4,171.8,177.6
264,19988.0,2.0,86.0,154.7,172.5,179.4
265,20064.0,112.0,127.2,167.8,184.8,194.0
266,20140.0,111.8,165.5,185.2,189.9,195.3
267,20216.0,2.0,112.8,168.3,183.1,197.1
268,20292.0,102.6,147.9,177.8,191.0,198.3
269,20368.0,2.0,124.5,157.1,176.9,186.5
270,20444.0,110.4,165.4,181.5,187.8,203.8
271,20520.0,104.2,155.4,178.6,184.0,190.7
272,20596.0,2.0,102.6,162.3,182.9,194.0
273,20672.0,111.0,125.3,170.5,184.0,190.5
274,20748.0,2.0,101.4,126.9,136.3,158.5
275,20824.0,88.0,112.6,126.8,129.2,131.3
276,20900.0,88.3,88.3,126.4,128.4,130.4
277,20976.0,2.0,87.2,113.1,128.6,130.3
278,21052.0,109.8,126.7,149.6,167.8,182.3
279,21128.0,2.0,112.7,157.5,177.2,184.6
280,21204.0,110.6,147.0,175.5,183.6,186.5
281,21280.0,112.9,145.7,179.4,183.6,186.2
282,21356.0,2.0,88.5,113.3,129.8,130.6
283,21432.0,109.1,143.9,166.0,176.8,180.3
284,21508.0,2.0,115.5,144.4,175.7,181.3
285,21584.0,85.8,120.9,127.7,135.3,151.0
286,21660.0,113.7,119.7,182.9,187.0,190.5
287,21736.0,111.0,131.9,153.0,172.8,179.3
288,21812.0,89.4,117.2,127.0,129.3,131.4
289,21888.0,101.9,117.6,154.3,162.7,165.8
290,21964.0,2.0,118.7,135.7,180.3,186.0
291,22040.0,86.5,114.8,127.5,133.7,147.5
292,22116.0,2.0,117.7,140.1,176.5,187.5
293,22192.0,86.6,86.6,126.0,128.5,130.3
294,22268.0,97.2,145.9,156.3,172.4,178.6
